Element Number,Area,Von Mises Stress
2,9.04E-03,4.84E-03
3,9.31E-03,4.71E-03
4,5.14E-03,5.26E-03
5,4.92E-03,5.45E-03
6,5.45E-03,5.41E-03
7,8.27E-03,5.13E-03
8,6.95E-03,5.20E-03
9,7.90E-03,5.41E-03
10,8.84E-03,5.45E-03
11,8.56E-03,5.28E-03
12,9.17E-03,5.07E-03
13,9.18E-03,4.89E-03
14,7.20E-03,4.88E-03
15,7.09E-03,4.96E-03
16,6.64E-03,5.12E-03
17,8.24E-03,4.57E-03
18,7.13E-03,5.39E-03
19,8.09E-03,4.73E-03
20,7.61E-03,4.44E-03
21,7.47E-03,4.59E-03
22,8.69E-03,4.50E-03
23,8.40E-03,4.59E-03
24,8.31E-03,4.40E-03
25,7.92E-03,4.70E-03
26,7.23E-03,4.82E-03
27,7.10E-03,4.99E-03
28,7.57E-03,5.18E-03
29,5.21E-03,5.35E-03
30,7.73E-03,4.28E-03
31,4.00E-03,5.67E-03
32,5.30E-03,5.55E-03
33,7.05E-03,5.54E-03
34,6.09E-03,5.53E-03
35,6.31E-03,5.53E-03
36,7.19E-03,5.58E-03
37,7.75E-03,5.62E-03
38,7.57E-03,5.64E-03
39,8.00E-03,5.48E-03
40,8.45E-03,5.34E-03
41,8.48E-03,5.16E-03
42,8.37E-03,5.02E-03
43,7.92E-03,4.87E-03
44,7.29E-03,4.73E-03
45,6.75E-03,4.61E-03
46,7.06E-03,4.46E-03
47,7.18E-03,4.30E-03
48,7.03E-03,4.15E-03
54,8.03E-03,6.69E-03
55,8.33E-03,6.47E-03
56,7.98E-03,6.71E-03
57,4.30E-03,6.98E-03
58,6.14E-03,7.24E-03
59,5.66E-03,7.37E-03
60,4.08E-03,7.06E-03
61,3.50E-03,6.77E-03
62,5.02E-03,8.11E-03
63,7.27E-03,8.34E-03
64,6.29E-03,8.48E-03
65,4.76E-03,8.24E-03
66,4.17E-03,7.99E-03
67,7.45E-03,1.98E-03
68,8.83E-03,2.20E-03
69,8.34E-03,1.94E-03
70,7.53E-03,2.40E-03
71,6.94E-03,4.10E-03
72,6.04E-03,4.08E-03
73,7.04E-03,2.41E-04
74,7.05E-03,4.48E-04
75,6.66E-03,3.01E-03
76,6.36E-03,3.31E-03
77,8.49E-03,8.59E-03
78,9.59E-03,8.34E-03
79,5.30E-03,7.30E-03
80,5.18E-03,7.02E-03
81,5.32E-03,7.21E-03
82,5.25E-03,8.20E-03
83,5.16E-03,8.37E-03
84,6.03E-03,8.44E-03
85,4.82E-03,4.58E-03
86,3.61E-03,4.52E-03
87,4.80E-03,3.75E-03
88,5.39E-03,4.02E-03
89,5.22E-03,4.29E-03
90,4.02E-03,4.57E-03
91,3.76E-03,4.85E-03
92,5.81E-03,4.70E-03
93,4.74E-03,5.06E-03
94,5.48E-03,5.22E-03
95,6.10E-03,4.88E-03
96,5.86E-03,5.37E-03
97,6.50E-03,5.06E-03
98,6.32E-03,5.56E-03
99,6.46E-03,5.24E-03
100,6.36E-03,5.73E-03
101,6.62E-03,5.41E-03
102,6.50E-03,5.90E-03
103,6.49E-03,5.57E-03
104,6.57E-03,6.05E-03
105,6.36E-03,5.71E-03
106,6.48E-03,6.21E-03
107,6.10E-03,5.84E-03
108,6.15E-03,6.36E-03
109,4.91E-03,5.99E-03
110,5.62E-03,6.47E-03
111,5.67E-03,6.24E-03
112,7.24E-03,6.46E-03
113,7.03E-03,6.62E-03
114,6.49E-03,6.73E-03
115,5.91E-03,6.85E-03
116,5.13E-03,6.96E-03
117,6.04E-03,3.32E-03
118,5.53E-03,3.46E-03
119,6.89E-03,3.74E-03
120,6.53E-03,4.24E-03
121,6.57E-03,4.43E-03
122,6.68E-03,4.62E-03
123,6.66E-03,4.79E-03
124,6.76E-03,4.97E-03
125,6.60E-03,5.13E-03
126,6.52E-03,5.29E-03
127,6.16E-03,5.46E-03
128,6.08E-03,5.64E-03
129,6.29E-03,5.86E-03
130,6.60E-03,5.99E-03
131,6.99E-03,6.18E-03
132,6.36E-03,6.33E-03
133,5.87E-03,6.46E-03
134,5.23E-03,6.60E-03
135,7.11E-03,2.81E-03
136,8.42E-03,3.05E-03
137,7.34E-03,3.29E-03
138,8.01E-03,3.49E-03
139,8.13E-03,3.70E-03
140,7.16E-03,3.91E-03
141,6.93E-03,4.06E-03
142,6.95E-03,4.23E-03
143,6.88E-03,4.41E-03
144,6.91E-03,4.58E-03
145,6.83E-03,4.76E-03
146,6.72E-03,4.93E-03
147,6.71E-03,5.10E-03
148,6.69E-03,5.29E-03
149,6.69E-03,5.48E-03
150,6.78E-03,5.66E-03
151,6.64E-03,5.81E-03
152,6.43E-03,5.97E-03
153,6.12E-03,6.14E-03
154,5.67E-03,6.31E-03
155,5.84E-03,6.51E-03
156,8.11E-03,7.13E-03
157,7.58E-03,7.10E-03
158,5.75E-03,7.34E-03
159,6.20E-03,7.26E-03
160,6.68E-03,7.17E-03
161,7.19E-03,7.06E-03
162,7.73E-03,6.93E-03
163,7.68E-03,6.91E-03
164,6.74E-03,6.83E-03
165,6.63E-03,6.72E-03
166,6.71E-03,6.58E-03
167,6.61E-03,6.42E-03
168,6.54E-03,6.25E-03
169,6.24E-03,6.06E-03
170,6.05E-03,5.87E-03
171,5.69E-03,5.66E-03
172,5.09E-03,5.41E-03
173,4.47E-03,5.16E-03
174,4.84E-03,4.88E-03
175,5.22E-03,4.62E-03
176,5.30E-03,4.37E-03
177,4.47E-03,4.15E-03
178,4.87E-03,3.72E-03
179,6.24E-03,2.60E-03
180,8.05E-03,2.23E-03
181,6.15E-03,7.27E-03
182,6.94E-03,7.64E-03
183,7.20E-03,7.71E-03
184,7.37E-03,7.70E-03
185,7.24E-03,7.66E-03
186,6.83E-03,7.63E-03
187,6.46E-03,7.70E-03
188,6.45E-03,7.73E-03
189,6.60E-03,7.69E-03
190,6.91E-03,7.63E-03
191,7.24E-03,7.56E-03
192,7.44E-03,7.50E-03
193,7.38E-03,7.43E-03
194,7.37E-03,7.35E-03
195,7.03E-03,7.24E-03
196,6.95E-03,7.12E-03
197,6.82E-03,6.97E-03
198,6.63E-03,6.80E-03
199,6.46E-03,6.60E-03
200,6.34E-03,6.39E-03
201,6.08E-03,6.14E-03
202,5.94E-03,5.86E-03
203,5.76E-03,5.54E-03
204,5.67E-03,5.24E-03
205,5.56E-03,4.94E-03
206,5.59E-03,4.64E-03
207,5.95E-03,4.25E-03
208,6.45E-03,3.84E-03
209,6.30E-03,3.41E-03
210,6.57E-03,3.02E-03
211,7.11E-03,2.61E-03
212,7.01E-03,2.23E-03
213,6.48E-03,1.95E-03
214,5.69E-03,1.67E-03
215,5.84E-03,1.37E-03
216,4.51E-03,1.70E-03
217,6.99E-03,2.58E-03
218,7.70E-03,2.76E-03
219,7.86E-03,3.00E-03
220,7.78E-03,3.21E-03
221,7.68E-03,3.37E-03
222,7.50E-03,3.56E-03
223,7.30E-03,3.74E-03
224,7.20E-03,3.91E-03
225,7.15E-03,4.07E-03
226,7.11E-03,4.24E-03
227,7.12E-03,4.41E-03
228,7.12E-03,4.59E-03
229,7.05E-03,4.77E-03
230,6.99E-03,4.95E-03
231,6.94E-03,5.13E-03
232,6.91E-03,5.31E-03
233,6.81E-03,5.48E-03
234,6.70E-03,5.65E-03
235,6.42E-03,5.85E-03
236,6.38E-03,6.04E-03
237,7.12E-03,6.26E-03
238,5.96E-03,6.87E-03
239,7.56E-03,7.42E-03
240,7.23E-03,9.22E-04
241,7.95E-03,1.17E-03
242,6.86E-03,1.54E-03
243,6.90E-03,1.84E-03
244,7.05E-03,2.20E-03
245,7.12E-03,2.58E-03
246,6.92E-03,3.02E-03
247,6.72E-03,3.49E-03
248,6.60E-03,3.96E-03
249,6.48E-03,4.42E-03
250,6.27E-03,4.86E-03
251,6.21E-03,5.28E-03
252,6.25E-03,5.65E-03
253,6.25E-03,6.01E-03
254,6.37E-03,6.35E-03
255,6.61E-03,6.67E-03
256,6.63E-03,6.94E-03
257,6.77E-03,7.18E-03
258,6.90E-03,7.38E-03
259,7.04E-03,7.56E-03
260,7.19E-03,7.70E-03
261,7.26E-03,7.82E-03
262,7.36E-03,7.91E-03
263,7.42E-03,7.99E-03
264,7.43E-03,8.05E-03
265,7.31E-03,8.08E-03
266,7.13E-03,8.12E-03
267,7.08E-03,8.14E-03
268,7.12E-03,8.14E-03
269,7.42E-03,8.10E-03
270,7.38E-03,8.10E-03
271,7.39E-03,8.12E-03
272,7.55E-03,8.13E-03
273,7.63E-03,8.10E-03
274,8.43E-03,7.97E-03
275,9.51E-03,7.89E-03
276,7.70E-03,7.99E-03
277,6.35E-03,8.11E-03
278,6.36E-03,6.24E-04
279,7.25E-03,1.02E-03
280,8.99E-03,1.30E-03
281,7.40E-03,1.63E-03
282,7.83E-03,2.39E-03
283,7.74E-03,2.55E-03
284,7.81E-03,2.73E-03
285,7.80E-03,2.92E-03
286,7.69E-03,3.10E-03
287,7.59E-03,3.27E-03
288,7.48E-03,3.44E-03
289,7.37E-03,3.61E-03
290,7.36E-03,3.77E-03
291,7.38E-03,3.94E-03
292,7.36E-03,4.10E-03
293,7.35E-03,4.28E-03
294,7.28E-03,4.45E-03
295,7.22E-03,4.63E-03
296,7.18E-03,4.81E-03
297,7.16E-03,4.99E-03
298,7.08E-03,5.17E-03
299,6.99E-03,5.36E-03
300,7.12E-03,5.55E-03
301,7.27E-03,5.77E-03
302,7.60E-03,5.97E-03
303,7.62E-03,6.18E-03
304,7.28E-03,6.38E-03
305,6.58E-03,6.61E-03
306,6.22E-03,6.81E-03
307,6.57E-03,7.01E-03
308,6.63E-03,7.20E-03
309,8.05E-03,7.40E-03
310,7.68E-03,7.67E-03
