Element Number,Area,Von Mises Stress
4,1.99E-03,9.75E-03
12,9.56E-04,2.20E-02
13,1.37E-03,2.26E-02
14,1.40E-03,2.23E-02
15,9.40E-04,2.16E-02
16,1.01E-03,2.14E-02
17,1.96E-03,2.70E-02
18,1.86E-03,2.89E-02
19,1.30E-03,8.03E-03
20,2.00E-03,9.44E-03
21,1.74E-03,6.55E-03
22,1.29E-03,6.13E-03
23,1.18E-03,6.59E-03
24,1.38E-03,2.28E-02
25,1.42E-03,2.22E-02
26,1.79E-03,2.86E-02
27,1.12E-03,3.00E-02
28,1.94E-03,3.10E-02
29,1.41E-03,3.07E-02
30,1.59E-03,2.49E-02
31,1.78E-03,2.36E-02
32,1.73E-03,2.75E-02
33,1.28E-03,2.87E-02
34,1.45E-03,3.09E-02
35,1.65E-03,3.27E-02
36,2.54E-03,2.11E-02
37,2.81E-03,2.00E-02
38,2.56E-03,1.89E-02
39,2.55E-03,1.99E-02
40,2.43E-03,2.25E-02
41,2.17E-03,2.39E-02
42,2.47E-03,2.21E-02
43,1.95E-03,2.46E-02
44,1.63E-03,2.61E-02
45,1.93E-03,2.55E-02
46,2.27E-03,2.45E-02
47,2.34E-03,1.77E-02
48,2.72E-03,1.89E-02
49,2.17E-03,2.44E-02
50,1.86E-03,2.75E-02
51,2.11E-03,2.62E-02
52,1.67E-03,2.28E-02
53,1.66E-03,2.55E-02
54,1.65E-03,2.35E-02
55,1.88E-03,2.91E-02
56,2.37E-03,1.63E-02
57,2.78E-03,1.62E-02
58,2.51E-03,1.72E-02
59,2.74E-03,1.67E-02
60,2.59E-03,1.79E-02
61,2.45E-03,2.11E-02
62,2.27E-03,2.26E-02
63,2.82E-03,2.08E-02
64,2.29E-03,1.84E-02
65,2.58E-03,1.93E-02
66,2.79E-03,1.71E-02
67,2.64E-03,1.72E-02
68,2.69E-03,1.70E-02
69,2.41E-03,1.71E-02
70,2.38E-03,1.94E-02
71,2.71E-03,1.83E-02
72,2.30E-03,2.18E-02
73,2.30E-03,2.38E-02
74,2.19E-03,2.86E-02
75,2.71E-03,2.08E-02
76,2.44E-03,2.10E-02
77,2.42E-03,2.19E-02
78,2.03E-03,2.22E-02
79,2.70E-03,2.15E-02
80,2.51E-03,2.21E-02
81,2.47E-03,1.92E-02
82,2.72E-03,2.03E-02
83,2.63E-03,1.67E-02
84,2.70E-03,1.78E-02
85,2.55E-03,1.55E-02
86,2.28E-03,1.60E-02
87,2.56E-03,1.61E-02
88,2.59E-03,1.57E-02
89,2.50E-03,1.74E-02
90,2.58E-03,1.68E-02
91,2.47E-03,1.93E-02
92,2.51E-03,1.83E-02
93,2.42E-03,2.05E-02
94,1.71E-03,2.61E-02
95,2.17E-03,2.04E-02
96,2.24E-03,2.16E-02
97,2.48E-03,1.86E-02
98,2.13E-03,1.96E-02
99,2.59E-03,1.75E-02
100,2.50E-03,1.78E-02
101,2.58E-03,1.76E-02
102,2.61E-03,1.74E-02
103,2.41E-03,1.91E-02
104,2.57E-03,1.83E-02
105,2.64E-03,2.00E-02
106,2.42E-03,1.91E-02
107,2.41E-03,2.04E-02
108,2.31E-03,2.63E-02
109,2.34E-03,2.05E-02
110,2.05E-03,2.12E-02
111,2.59E-03,1.97E-02
112,1.82E-03,2.14E-02
113,1.56E-03,2.15E-02
114,2.51E-03,2.35E-02
115,2.38E-03,2.33E-02
116,1.11E-03,2.52E-02
117,2.64E-03,2.17E-02
118,2.56E-03,2.29E-02
119,2.55E-03,1.87E-02
120,2.56E-03,2.03E-02
121,2.49E-03,1.60E-02
122,2.57E-03,1.71E-02
123,2.48E-03,1.47E-02
124,2.48E-03,1.51E-02
125,2.56E-03,1.49E-02
126,2.54E-03,1.46E-02
127,2.53E-03,1.61E-02
128,2.52E-03,1.55E-02
129,2.45E-03,1.76E-02
130,2.49E-03,1.68E-02
131,2.44E-03,1.83E-02
132,2.44E-03,2.22E-02
133,2.32E-03,2.95E-02
134,2.14E-03,3.11E-02
135,1.30E-03,2.52E-02
136,1.91E-03,2.66E-02
137,1.65E-03,2.35E-02
138,1.38E-03,2.40E-02
139,1.63E-03,2.31E-02
140,2.24E-03,2.07E-02
141,1.98E-03,2.11E-02
142,2.41E-03,1.91E-02
143,2.30E-03,1.99E-02
144,2.54E-03,1.80E-02
145,2.46E-03,1.86E-02
146,2.57E-03,1.81E-02
147,2.55E-03,1.79E-02
148,2.65E-03,1.89E-02
149,2.58E-03,1.84E-02
150,2.48E-03,1.97E-02
151,2.52E-03,1.94E-02
152,2.10E-03,1.89E-02
153,2.39E-03,1.95E-02
154,2.06E-03,1.78E-02
155,2.22E-03,2.12E-02
156,2.51E-03,1.78E-02
157,2.61E-03,2.43E-02
158,3.08E-03,2.50E-02
159,2.52E-03,2.52E-02
160,1.59E-03,2.14E-02
161,1.48E-03,2.10E-02
162,2.10E-03,1.53E-02
163,2.61E-03,1.42E-02
164,2.92E-03,1.96E-02
165,2.60E-03,2.14E-02
166,2.59E-03,2.31E-02
167,2.53E-03,1.78E-02
168,2.54E-03,1.96E-02
169,2.51E-03,1.48E-02
170,2.52E-03,1.62E-02
171,2.51E-03,1.36E-02
172,2.49E-03,1.40E-02
173,2.53E-03,1.41E-02
174,2.53E-03,1.37E-02
175,2.52E-03,1.54E-02
176,2.51E-03,1.46E-02
177,2.47E-03,1.69E-02
178,2.48E-03,1.62E-02
179,2.47E-03,1.83E-02
180,2.46E-03,1.77E-02
181,2.60E-03,1.92E-02
182,2.49E-03,1.85E-02
183,3.16E-03,2.38E-02
184,2.32E-03,1.94E-02
185,2.91E-03,2.32E-02
186,2.88E-03,1.95E-02
187,2.31E-03,3.42E-02
188,2.53E-03,3.08E-02
189,2.02E-03,3.40E-02
190,2.18E-03,3.49E-02
191,1.64E-03,2.48E-02
192,1.80E-03,2.65E-02
193,1.76E-03,2.23E-02
194,1.66E-03,2.33E-02
195,1.69E-03,2.19E-02
196,1.88E-03,2.07E-02
197,1.57E-03,2.07E-02
198,1.71E-03,2.07E-02
199,2.21E-03,2.06E-02
200,2.00E-03,2.07E-02
201,2.41E-03,1.98E-02
202,2.35E-03,2.03E-02
203,2.50E-03,1.90E-02
204,2.46E-03,1.93E-02
205,2.56E-03,1.88E-02
206,2.54E-03,1.89E-02
207,2.58E-03,1.87E-02
208,2.60E-03,1.87E-02
209,2.42E-03,1.85E-02
210,2.49E-03,1.87E-02
211,2.08E-03,1.69E-02
212,2.32E-03,1.79E-02
213,1.93E-03,1.58E-02
214,2.15E-03,1.24E-02
215,2.39E-03,1.55E-02
216,2.01E-03,1.01E-02
217,2.63E-03,1.70E-02
218,2.88E-03,2.12E-02
219,2.25E-03,2.93E-02
220,2.05E-03,3.54E-02
221,2.56E-03,3.77E-02
222,2.50E-03,2.95E-02
223,2.95E-03,2.69E-02
224,2.68E-03,2.46E-02
225,2.79E-03,2.62E-02
226,2.58E-03,2.05E-02
227,2.61E-03,2.26E-02
228,2.54E-03,1.64E-02
229,2.54E-03,1.83E-02
230,2.51E-03,1.35E-02
231,2.50E-03,1.47E-02
232,2.49E-03,1.28E-02
233,2.48E-03,1.28E-02
234,2.52E-03,1.40E-02
235,2.51E-03,1.32E-02
236,2.50E-03,1.62E-02
237,2.51E-03,1.50E-02
238,2.48E-03,1.89E-02
239,2.49E-03,1.75E-02
240,2.47E-03,2.15E-02
241,2.47E-03,2.02E-02
242,2.59E-03,2.30E-02
243,2.53E-03,2.27E-02
244,2.86E-03,2.41E-02
245,2.34E-03,4.12E-02
246,2.47E-03,4.09E-02
247,2.09E-03,3.73E-02
248,2.24E-03,3.97E-02
249,1.82E-03,3.13E-02
250,1.93E-03,3.44E-02
251,1.83E-03,2.64E-02
252,1.74E-03,2.83E-02
253,1.94E-03,2.38E-02
254,1.90E-03,2.49E-02
255,1.89E-03,2.13E-02
256,1.98E-03,2.24E-02
257,1.82E-03,2.00E-02
258,1.86E-03,2.06E-02
259,1.90E-03,1.95E-02
260,1.82E-03,1.97E-02
261,2.03E-03,1.98E-02
262,1.95E-03,1.95E-02
263,2.24E-03,2.05E-02
264,2.16E-03,2.01E-02
265,2.41E-03,2.07E-02
266,2.37E-03,2.07E-02
267,2.49E-03,2.06E-02
268,2.46E-03,2.07E-02
269,2.55E-03,2.02E-02
270,2.52E-03,2.05E-02
271,2.53E-03,1.90E-02
272,2.55E-03,1.98E-02
273,2.41E-03,1.74E-02
274,2.46E-03,1.82E-02
275,2.29E-03,1.47E-02
276,2.35E-03,1.62E-02
277,2.43E-03,1.17E-02
278,2.38E-03,1.30E-02
279,2.21E-03,1.05E-02
280,2.49E-03,1.30E-02
281,2.84E-03,2.59E-02
282,2.72E-03,4.09E-02
283,2.77E-03,2.84E-02
284,2.67E-03,2.40E-02
285,2.71E-03,2.64E-02
286,2.58E-03,1.89E-02
287,2.61E-03,2.14E-02
288,2.52E-03,1.46E-02
289,2.53E-03,1.66E-02
290,2.48E-03,1.22E-02
291,2.49E-03,1.31E-02
292,2.49E-03,1.27E-02
293,2.49E-03,1.21E-02
294,2.49E-03,1.54E-02
295,2.49E-03,1.38E-02
296,2.49E-03,1.92E-02
297,2.49E-03,1.71E-02
298,2.48E-03,2.36E-02
299,2.49E-03,2.13E-02
300,2.48E-03,2.90E-02
301,2.46E-03,2.62E-02
302,2.55E-03,3.61E-02
303,2.51E-03,3.22E-02
304,2.32E-03,4.98E-02
