Element Number,Area,Von Mises Stress
7,3.68E-03,2.55E-02
8,3.68E-03,2.55E-02
9,3.68E-03,2.54E-02
10,3.67E-03,2.54E-02
11,3.67E-03,2.54E-02
12,3.67E-03,2.54E-02
13,3.67E-03,2.53E-02
14,3.67E-03,2.53E-02
15,3.67E-03,2.53E-02
16,3.67E-03,2.52E-02
17,3.66E-03,2.52E-02
18,3.66E-03,2.52E-02
19,3.66E-03,2.52E-02
20,3.66E-03,2.51E-02
21,3.66E-03,2.50E-02
22,3.66E-03,2.50E-02
23,3.66E-03,2.49E-02
24,3.65E-03,2.49E-02
25,3.65E-03,2.49E-02
26,3.74E-03,2.53E-02
27,3.74E-03,2.53E-02
28,3.74E-03,2.53E-02
29,3.73E-03,2.53E-02
30,3.73E-03,2.53E-02
31,3.73E-03,2.52E-02
32,3.73E-03,2.52E-02
33,3.73E-03,2.52E-02
34,3.73E-03,2.52E-02
35,3.72E-03,2.51E-02
36,3.72E-03,2.51E-02
37,3.72E-03,2.50E-02
38,3.72E-03,2.50E-02
39,3.72E-03,2.50E-02
40,3.72E-03,2.49E-02
41,3.72E-03,2.49E-02
42,3.71E-03,2.49E-02
43,3.71E-03,2.49E-02
44,3.71E-03,2.49E-02
45,3.80E-03,2.52E-02
46,3.80E-03,2.52E-02
47,3.80E-03,2.52E-02
48,3.79E-03,2.51E-02
49,3.79E-03,2.51E-02
50,3.79E-03,2.51E-02
51,3.79E-03,2.51E-02
52,3.79E-03,2.51E-02
53,3.79E-03,2.50E-02
54,3.78E-03,2.50E-02
55,3.78E-03,2.49E-02
56,3.78E-03,2.49E-02
57,3.78E-03,2.49E-02
58,3.78E-03,2.48E-02
59,3.78E-03,2.48E-02
60,3.78E-03,2.48E-02
61,3.77E-03,2.48E-02
62,3.77E-03,2.48E-02
63,3.77E-03,2.48E-02
64,3.86E-03,2.50E-02
65,3.86E-03,2.50E-02
66,3.86E-03,2.50E-02
67,3.85E-03,2.50E-02
68,3.85E-03,2.50E-02
69,3.85E-03,2.50E-02
70,3.85E-03,2.49E-02
71,3.85E-03,2.49E-02
72,3.85E-03,2.49E-02
73,3.85E-03,2.49E-02
74,3.84E-03,2.48E-02
75,3.84E-03,2.48E-02
76,3.84E-03,2.47E-02
77,3.84E-03,2.47E-02
78,3.84E-03,2.47E-02
79,3.84E-03,2.46E-02
80,3.84E-03,2.46E-02
81,3.83E-03,2.46E-02
82,3.83E-03,2.47E-02
83,3.92E-03,2.49E-02
84,3.92E-03,2.49E-02
85,3.92E-03,2.49E-02
86,3.91E-03,2.49E-02
87,3.91E-03,2.49E-02
88,3.91E-03,2.48E-02
89,3.91E-03,2.48E-02
90,3.91E-03,2.48E-02
91,3.91E-03,2.48E-02
92,3.91E-03,2.47E-02
93,3.90E-03,2.47E-02
94,3.90E-03,2.47E-02
95,3.90E-03,2.46E-02
96,3.90E-03,2.46E-02
97,3.90E-03,2.45E-02
98,3.90E-03,2.45E-02
99,3.90E-03,2.45E-02
100,3.89E-03,2.45E-02
101,3.89E-03,2.45E-02
102,3.98E-03,2.48E-02
103,3.98E-03,2.48E-02
104,3.97E-03,2.47E-02
105,3.97E-03,2.47E-02
106,3.97E-03,2.47E-02
107,3.97E-03,2.47E-02
108,3.97E-03,2.47E-02
109,3.97E-03,2.47E-02
110,3.97E-03,2.46E-02
111,3.97E-03,2.46E-02
112,3.96E-03,2.46E-02
113,3.96E-03,2.45E-02
114,3.96E-03,2.45E-02
115,3.96E-03,2.45E-02
116,3.96E-03,2.44E-02
117,3.96E-03,2.44E-02
118,3.96E-03,2.43E-02
119,3.95E-03,2.43E-02
120,3.95E-03,2.43E-02
121,4.04E-03,2.46E-02
122,4.04E-03,2.46E-02
123,4.03E-03,2.46E-02
124,4.03E-03,2.46E-02
125,4.03E-03,2.46E-02
126,4.03E-03,2.46E-02
127,4.03E-03,2.46E-02
128,4.03E-03,2.45E-02
129,4.03E-03,2.45E-02
130,4.03E-03,2.45E-02
131,4.02E-03,2.45E-02
132,4.02E-03,2.44E-02
133,4.02E-03,2.44E-02
134,4.02E-03,2.44E-02
135,4.02E-03,2.43E-02
136,4.02E-03,2.43E-02
137,4.02E-03,2.42E-02
138,4.02E-03,2.41E-02
139,4.01E-03,2.40E-02
140,4.09E-03,2.45E-02
141,4.09E-03,2.45E-02
142,4.09E-03,2.45E-02
143,4.09E-03,2.45E-02
144,4.09E-03,2.44E-02
145,4.09E-03,2.44E-02
146,4.09E-03,2.44E-02
147,4.09E-03,2.44E-02
148,4.09E-03,2.44E-02
149,4.09E-03,2.44E-02
150,4.08E-03,2.44E-02
151,4.08E-03,2.43E-02
152,4.08E-03,2.43E-02
153,4.08E-03,2.43E-02
154,4.08E-03,2.42E-02
155,4.08E-03,2.41E-02
156,4.08E-03,2.40E-02
157,4.08E-03,2.39E-02
158,4.08E-03,2.37E-02
159,4.15E-03,2.43E-02
160,4.15E-03,2.43E-02
161,4.15E-03,2.43E-02
162,4.15E-03,2.43E-02
163,4.15E-03,2.43E-02
164,4.15E-03,2.43E-02
165,4.15E-03,2.43E-02
166,4.15E-03,2.43E-02
167,4.15E-03,2.43E-02
168,4.15E-03,2.43E-02
169,4.14E-03,2.43E-02
170,4.14E-03,2.42E-02
171,4.14E-03,2.42E-02
172,4.14E-03,2.42E-02
173,4.14E-03,2.41E-02
174,4.14E-03,2.40E-02
175,4.14E-03,2.39E-02
176,4.14E-03,2.37E-02
177,4.14E-03,2.35E-02
178,4.20E-03,2.42E-02
179,4.20E-03,2.42E-02
180,4.20E-03,2.42E-02
181,4.20E-03,2.42E-02
182,4.20E-03,2.42E-02
183,4.20E-03,2.42E-02
184,4.20E-03,2.42E-02
185,4.20E-03,2.42E-02
186,4.20E-03,2.42E-02
187,4.20E-03,2.42E-02
188,4.20E-03,2.41E-02
189,4.20E-03,2.41E-02
190,4.20E-03,2.41E-02
191,4.20E-03,2.41E-02
192,4.20E-03,2.40E-02
193,4.20E-03,2.39E-02
194,4.20E-03,2.38E-02
195,4.20E-03,2.36E-02
196,4.20E-03,2.34E-02
197,4.25E-03,2.40E-02
198,4.25E-03,2.40E-02
199,4.26E-03,2.40E-02
200,4.26E-03,2.40E-02
201,4.26E-03,2.40E-02
202,4.26E-03,2.40E-02
203,4.26E-03,2.40E-02
204,4.26E-03,2.40E-02
205,4.26E-03,2.40E-02
206,4.26E-03,2.40E-02
207,4.26E-03,2.40E-02
208,4.26E-03,2.40E-02
209,4.26E-03,2.40E-02
210,4.26E-03,2.40E-02
211,4.26E-03,2.39E-02
212,4.26E-03,2.38E-02
213,4.26E-03,2.37E-02
214,4.26E-03,2.36E-02
215,4.26E-03,2.35E-02
216,4.30E-03,2.39E-02
217,4.30E-03,2.39E-02
218,4.30E-03,2.39E-02
219,4.30E-03,2.39E-02
220,4.30E-03,2.39E-02
221,4.30E-03,2.39E-02
222,4.30E-03,2.39E-02
223,4.31E-03,2.39E-02
224,4.31E-03,2.39E-02
225,4.31E-03,2.39E-02
226,4.31E-03,2.39E-02
227,4.31E-03,2.39E-02
228,4.31E-03,2.39E-02
229,4.31E-03,2.39E-02
230,4.31E-03,2.38E-02
231,4.31E-03,2.38E-02
232,4.31E-03,2.37E-02
233,4.31E-03,2.36E-02
234,4.31E-03,2.36E-02
235,4.35E-03,2.37E-02
236,4.35E-03,2.37E-02
237,4.35E-03,2.37E-02
238,4.35E-03,2.38E-02
239,4.35E-03,2.38E-02
240,4.35E-03,2.38E-02
241,4.35E-03,2.38E-02
242,4.35E-03,2.38E-02
243,4.35E-03,2.38E-02
244,4.35E-03,2.38E-02
245,4.35E-03,2.38E-02
246,4.35E-03,2.38E-02
247,4.36E-03,2.38E-02
248,4.36E-03,2.38E-02
249,4.36E-03,2.37E-02
250,4.36E-03,2.37E-02
251,4.36E-03,2.37E-02
252,4.36E-03,2.37E-02
253,4.36E-03,2.37E-02
254,4.40E-03,2.36E-02
255,4.40E-03,2.36E-02
256,4.40E-03,2.36E-02
257,4.40E-03,2.36E-02
258,4.40E-03,2.36E-02
259,4.40E-03,2.36E-02
260,4.40E-03,2.36E-02
261,4.40E-03,2.37E-02
262,4.40E-03,2.37E-02
263,4.40E-03,2.37E-02
264,4.40E-03,2.37E-02
265,4.40E-03,2.37E-02
