Element Number,Area,Von Mises Stress
16,2.61E-02,4.46E-02
17,2.73E-02,4.57E-02
18,2.80E-02,4.53E-02
19,1.30E-02,4.39E-02
20,1.93E-02,4.38E-02
21,1.71E-02,4.32E-02
22,1.10E-02,4.34E-02
23,1.15E-02,4.37E-02
24,1.70E-02,4.27E-02
25,1.57E-02,4.30E-02
26,1.53E-02,4.34E-02
27,1.86E-02,4.23E-02
28,1.78E-02,4.27E-02
29,1.79E-02,4.31E-02
30,1.24E-02,7.93E-02
31,1.17E-02,6.91E-02
32,1.15E-02,7.48E-02
33,2.89E-02,6.13E-02
34,2.71E-02,6.06E-02
35,2.74E-02,3.20E-02
36,2.55E-02,3.22E-02
37,2.72E-02,3.80E-02
38,2.70E-02,3.78E-02
39,2.84E-02,3.77E-02
40,1.87E-02,6.71E-02
41,1.59E-02,6.78E-02
42,2.05E-02,9.80E-02
43,1.81E-02,8.60E-02
44,1.97E-02,9.25E-02
45,2.27E-02,6.74E-02
46,2.54E-02,5.87E-02
47,1.75E-02,2.98E-02
48,2.02E-02,2.98E-02
49,2.26E-02,2.97E-02
50,2.24E-02,2.98E-02
51,1.99E-02,2.97E-02
52,2.50E-02,2.98E-02
53,2.12E-02,2.98E-02
54,1.87E-02,3.24E-02
55,1.89E-02,3.24E-02
56,2.18E-02,5.78E-02
57,1.92E-02,7.61E-02
58,2.07E-02,3.09E-02
59,2.10E-02,3.08E-02
60,2.15E-02,3.07E-02
61,2.17E-02,3.06E-02
62,2.21E-02,3.05E-02
63,2.25E-02,3.04E-02
64,2.31E-02,3.03E-02
65,2.37E-02,3.02E-02
66,2.44E-02,3.01E-02
67,2.70E-02,3.00E-02
68,2.06E-02,2.99E-02
69,1.99E-02,3.10E-02
70,1.84E-02,3.11E-02
71,2.07E-02,3.09E-02
72,2.10E-02,3.08E-02
73,2.10E-02,2.99E-02
74,1.81E-02,2.98E-02
75,1.98E-02,3.26E-02
76,1.89E-02,3.25E-02
77,1.50E-02,3.12E-02
78,1.68E-02,3.13E-02
79,1.90E-02,3.11E-02
80,1.64E-02,3.12E-02
81,2.04E-02,3.10E-02
82,2.21E-02,3.05E-02
83,2.12E-02,3.07E-02
84,2.14E-02,3.06E-02
85,2.31E-02,3.03E-02
86,2.27E-02,3.04E-02
87,2.50E-02,3.01E-02
88,2.37E-02,3.02E-02
89,2.74E-02,2.99E-02
90,2.74E-02,3.00E-02
91,1.58E-02,3.26E-02
92,2.06E-02,3.27E-02
93,2.19E-02,2.98E-02
94,2.80E-02,2.98E-02
95,2.24E-02,2.98E-02
96,2.34E-02,3.02E-02
97,2.37E-02,3.01E-02
98,2.29E-02,3.03E-02
99,2.06E-02,3.14E-02
100,2.46E-02,3.14E-02
101,2.28E-02,3.15E-02
102,2.21E-02,3.16E-02
103,2.28E-02,3.23E-02
104,1.80E-02,3.27E-02
105,2.09E-02,3.28E-02
106,2.10E-02,3.27E-02
107,2.23E-02,3.25E-02
108,2.13E-02,3.26E-02
109,2.38E-02,2.99E-02
110,2.05E-02,2.98E-02
111,2.32E-02,2.97E-02
112,2.29E-02,2.97E-02
113,2.20E-02,2.97E-02
114,2.31E-02,2.97E-02
115,2.20E-02,2.99E-02
116,2.22E-02,2.98E-02
117,2.29E-02,3.00E-02
118,2.21E-02,3.05E-02
119,2.24E-02,3.04E-02
120,2.16E-02,3.07E-02
121,2.18E-02,3.06E-02
122,2.10E-02,3.09E-02
123,2.13E-02,3.08E-02
124,2.04E-02,3.11E-02
125,2.06E-02,3.10E-02
126,2.06E-02,3.12E-02
127,2.77E-02,3.16E-02
128,2.91E-02,3.18E-02
129,2.70E-02,3.20E-02
130,2.55E-02,3.21E-02
131,1.89E-02,3.24E-02
132,1.71E-02,3.25E-02
133,2.10E-02,3.23E-02
134,2.71E-02,3.19E-02
135,2.21E-02,3.16E-02
136,2.91E-02,3.18E-02
137,2.47E-02,3.14E-02
138,1.89E-02,3.15E-02
139,2.04E-02,3.11E-02
140,2.28E-02,3.12E-02
141,2.09E-02,3.09E-02
142,2.06E-02,3.10E-02
143,2.12E-02,3.07E-02
144,2.11E-02,3.08E-02
145,2.22E-02,3.05E-02
146,2.17E-02,3.06E-02
147,2.30E-02,3.03E-02
148,2.26E-02,3.04E-02
149,2.40E-02,3.01E-02
150,2.36E-02,3.02E-02
151,2.43E-02,3.00E-02
152,2.23E-02,3.29E-02
153,2.33E-02,3.28E-02
154,2.31E-02,3.02E-02
155,2.30E-02,3.01E-02
156,2.26E-02,3.03E-02
157,2.31E-02,3.23E-02
158,2.18E-02,3.27E-02
159,2.74E-02,3.29E-02
160,2.87E-02,3.30E-02
161,2.56E-02,3.32E-02
162,2.46E-02,3.33E-02
163,2.39E-02,3.34E-02
164,2.34E-02,3.35E-02
165,2.08E-02,3.37E-02
166,2.29E-02,3.38E-02
167,2.09E-02,3.52E-02
168,2.64E-02,3.55E-02
169,2.28E-02,3.26E-02
170,2.25E-02,3.27E-02
171,1.75E-02,2.97E-02
172,2.46E-02,2.95E-02
173,1.82E-02,2.94E-02
174,2.32E-02,2.96E-02
175,2.26E-02,2.97E-02
176,2.51E-02,2.96E-02
177,2.25E-02,2.97E-02
178,2.32E-02,2.96E-02
179,2.21E-02,2.99E-02
180,2.19E-02,2.98E-02
181,2.26E-02,3.00E-02
182,2.22E-02,3.05E-02
183,2.23E-02,3.04E-02
184,2.17E-02,3.07E-02
185,2.19E-02,3.06E-02
186,2.12E-02,3.09E-02
187,2.15E-02,3.08E-02
188,2.10E-02,3.11E-02
189,2.10E-02,3.10E-02
190,2.19E-02,3.14E-02
191,2.14E-02,3.13E-02
192,2.39E-02,3.17E-02
193,2.29E-02,3.16E-02
194,2.49E-02,3.20E-02
195,2.53E-02,3.19E-02
196,2.42E-02,3.22E-02
197,2.36E-02,3.29E-02
198,2.26E-02,3.28E-02
199,2.52E-02,3.31E-02
200,2.50E-02,3.30E-02
201,2.45E-02,3.33E-02
202,2.50E-02,3.32E-02
203,2.39E-02,3.36E-02
204,2.43E-02,3.35E-02
205,2.88E-02,3.39E-02
206,2.47E-02,3.38E-02
207,2.89E-02,3.41E-02
208,2.51E-02,3.43E-02
209,2.44E-02,3.44E-02
210,2.37E-02,3.46E-02
211,2.36E-02,3.47E-02
212,2.38E-02,3.49E-02
213,2.47E-02,3.51E-02
214,2.03E-02,3.51E-02
215,2.49E-02,3.53E-02
216,2.30E-02,3.48E-02
217,2.24E-02,3.50E-02
218,2.34E-02,3.45E-02
219,2.31E-02,3.47E-02
220,2.48E-02,3.42E-02
221,2.35E-02,3.43E-02
222,2.05E-02,3.39E-02
223,2.73E-02,3.40E-02
224,2.03E-02,3.36E-02
225,1.99E-02,3.37E-02
226,2.35E-02,3.33E-02
227,2.25E-02,3.35E-02
228,2.62E-02,3.31E-02
229,2.44E-02,3.32E-02
230,2.22E-02,3.28E-02
231,2.83E-02,3.30E-02
232,2.18E-02,3.26E-02
233,2.07E-02,3.27E-02
234,2.09E-02,3.24E-02
235,2.34E-02,3.25E-02
236,2.37E-02,3.21E-02
237,2.22E-02,3.22E-02
238,2.50E-02,3.18E-02
239,2.50E-02,3.20E-02
240,2.35E-02,3.16E-02
241,2.41E-02,3.17E-02
242,2.23E-02,3.13E-02
243,2.21E-02,3.14E-02
244,2.17E-02,3.11E-02
245,2.20E-02,3.12E-02
246,2.12E-02,3.09E-02
247,2.12E-02,3.10E-02
248,2.14E-02,3.07E-02
249,2.12E-02,3.08E-02
250,2.23E-02,3.05E-02
251,2.18E-02,3.06E-02
252,2.28E-02,3.03E-02
253,2.24E-02,3.04E-02
254,2.35E-02,3.01E-02
255,2.33E-02,3.02E-02
256,2.35E-02,2.99E-02
257,2.34E-02,3.00E-02
258,2.50E-02,3.56E-02
259,2.40E-02,3.58E-02
260,2.35E-02,3.60E-02
261,2.32E-02,3.62E-02
262,2.29E-02,3.64E-02
263,2.29E-02,3.65E-02
264,2.22E-02,3.66E-02
265,2.24E-02,3.67E-02
266,1.82E-02,2.94E-02
267,1.45E-02,2.93E-02
268,2.27E-02,3.01E-02
269,2.27E-02,3.02E-02
270,2.35E-02,3.24E-02
271,2.25E-02,3.28E-02
272,2.31E-02,3.63E-02
273,1.92E-02,3.68E-02
274,2.22E-02,3.69E-02
275,2.52E-02,3.81E-02
276,2.28E-02,3.84E-02
277,2.35E-02,3.26E-02
278,2.34E-02,3.28E-02
279,2.60E-02,2.97E-02
280,2.15E-02,2.96E-02
281,2.18E-02,2.97E-02
282,2.27E-02,2.96E-02
283,2.18E-02,2.96E-02
284,2.45E-02,2.95E-02
285,1.93E-02,2.93E-02
286,2.10E-02,2.95E-02
287,2.01E-02,2.94E-02
288,2.25E-02,2.97E-02
289,2.24E-02,2.96E-02
290,2.23E-02,2.99E-02
291,2.22E-02,2.98E-02
292,2.25E-02,3.00E-02
293,2.22E-02,3.05E-02
294,2.24E-02,3.03E-02
295,2.23E-02,3.04E-02
296,2.20E-02,3.07E-02
297,2.22E-02,3.06E-02
298,2.17E-02,3.09E-02
299,2.18E-02,3.08E-02
300,2.16E-02,3.11E-02
301,2.16E-02,3.10E-02
302,2.21E-02,3.14E-02
303,2.20E-02,3.13E-02
304,2.33E-02,3.18E-02
305,2.29E-02,3.16E-02
306,2.40E-02,3.21E-02
307,2.35E-02,3.19E-02
308,2.37E-02,3.22E-02
309,2.37E-02,3.30E-02
310,2.30E-02,3.29E-02
311,2.38E-02,3.32E-02
312,2.43E-02,3.31E-02
313,2.42E-02,3.34E-02
314,2.45E-02,3.33E-02
315,2.45E-02,3.37E-02
316,2.44E-02,3.35E-02
317,2.51E-02,3.40E-02
318,2.53E-02,3.38E-02
319,2.46E-02,3.43E-02
320,2.51E-02,3.42E-02
321,2.41E-02,3.47E-02
322,2.43E-02,3.45E-02
323,2.36E-02,3.50E-02
324,2.38E-02,3.48E-02
325,2.05E-02,3.53E-02
326,2.33E-02,3.52E-02
327,2.61E-02,3.56E-02
328,2.47E-02,3.54E-02
329,2.37E-02,3.59E-02
330,2.43E-02,3.58E-02
331,2.34E-02,3.61E-02
332,2.57E-02,3.71E-02
333,2.80E-02,3.74E-02
334,2.20E-02,3.86E-02
335,2.15E-02,3.89E-02
336,2.12E-02,3.92E-02
337,2.08E-02,3.95E-02
338,1.82E-02,4.02E-02
339,1.55E-02,4.06E-02
340,2.01E-02,3.99E-02
341,2.00E-02,4.11E-02
342,2.25E-02,4.05E-02
343,2.17E-02,4.08E-02
344,2.04E-02,3.98E-02
345,1.97E-02,4.01E-02
346,2.11E-02,3.92E-02
347,2.07E-02,3.95E-02
348,2.13E-02,3.86E-02
349,2.13E-02,3.89E-02
350,2.05E-02,3.81E-02
351,2.13E-02,3.83E-02
352,2.27E-02,3.75E-02
353,2.19E-02,3.78E-02
354,2.59E-02,3.70E-02
355,2.69E-02,3.73E-02
356,2.23E-02,3.65E-02
357,2.23E-02,3.67E-02
358,2.35E-02,3.60E-02
359,2.30E-02,3.62E-02
360,2.42E-02,3.57E-02
361,2.38E-02,3.58E-02
362,2.47E-02,3.53E-02
363,2.46E-02,3.55E-02
364,2.23E-02,3.50E-02
365,2.36E-02,3.52E-02
366,2.26E-02,3.47E-02
367,2.20E-02,3.49E-02
368,2.33E-02,3.44E-02
369,2.31E-02,3.46E-02
370,2.34E-02,3.41E-02
371,2.35E-02,3.43E-02
372,2.18E-02,3.38E-02
373,2.24E-02,3.40E-02
374,2.16E-02,3.35E-02
375,2.18E-02,3.37E-02
376,2.30E-02,3.33E-02
377,2.20E-02,3.34E-02
